,len,loss,reward,diff,eff
5646,2.0,0.007549361627316103,1.0173674069202705,0.01736740692027105,0.4063745312298196
5647,2.0,0.0075512390618678185,1.0482665585047553,0.060808026377166764,0.4641049030566453
5648,2.0,0.007504993824986741,1.0476036288083734,0.06014509668078489,0.4347664339593032
5649,2.0,0.007469577471492812,1.0637083791881587,0.06370837918815828,0.4390647530291865
5650,2.0,0.007510170143796131,1.0621475107005058,0.07505730392354157,0.4430523966876408
5651,2.0,0.007525316310347989,1.0541649012852368,0.0671137173263802,0.43411043479885036
5652,2.0,0.007592468626098707,1.0217151977016128,0.060838751145343525,0.4303423961702132
5653,2.0,0.007527655704179779,0.9982917229708395,0.046016816841909544,0.4098995633103447
5654,2.0,0.007452124889241531,1.0370156101584689,0.06241184809479934,0.4234099213670349
5655,2.0,0.007459522901335731,1.0597657354731762,0.07273734059994563,0.44206359448583876
5656,2.0,0.007423318094806746,1.05495152141871,0.05495152141870965,0.4289280095253213
5657,2.0,0.007428309827810153,1.0529919507469567,0.0529919507469566,0.45406455411881375
5658,2.0,0.007372591857565567,0.9593582733764684,-0.0406417266235325,0.3200714407677881
5659,2.0,0.007367467297008261,0.9582421608000207,-0.04175783919998015,0.31797325224476936
5660,2.0,0.0074154282675590365,0.9601441995272937,-0.039855800472707245,0.3168714696271328
5661,2.0,0.007447419458767399,0.9442149680704438,-0.04291366897377531,0.31165328923591556
5662,2.0,0.007574543990194797,0.9495915985590844,-0.03749253086691217,0.31917562882291983
5663,2.0,0.0075038602063432335,1.017950377207874,0.043329734432008236,0.27862684976038166
5664,2.0,0.007523565930314362,1.044711907730886,0.057319677508202396,0.28759184819358397
5665,2.0,0.007550924876704812,1.0437148249390622,0.0825196373735226,0.44646784688764457
5666,2.0,0.007507788755465299,0.969206645598398,0.05809450074644156,0.4139738014064252
5667,2.0,0.007493818923830986,1.054025278850549,0.0667774765894781,0.4353876697225884
5668,2.0,0.007447909787297249,1.0183881239133874,0.06963525704341998,0.43108254480798447
5669,2.0,0.00728623618837446,0.9342729761916115,-0.05300480156271699,0.30768111775407114
5670,2.0,0.007208932819776237,0.868351765049095,-0.054353590879922926,0.294382105111207
5671,2.0,0.007194604490650818,0.8956257365084935,-0.053108777485286265,0.29971736798605886
5672,2.0,0.007135132647817954,1.033360402619882,0.07163330087716673,0.4367366909294834
5673,2.0,0.007152072816388681,1.0116313491515185,0.04946085297690566,0.28154047088283385
5674,2.0,0.007241436868207529,0.9705183465053863,0.04697225802328381,0.2770685191296186
5675,2.0,0.007201478519709781,1.0403409941503823,0.05290154640803715,0.2866047364374875
5676,2.0,0.007130428171949461,0.9793891747301764,0.01768106801945845,0.3117166603383768
5677,2.0,0.007134683098411187,0.9269189676363032,-0.03471276450267776,0.3198661125069436
5678,2.0,0.0071424017276149245,1.013957138247723,0.026546945572594037,0.42202355574162637
5679,2.0,0.00717219609185122,1.0065031028499078,0.019054636504909267,0.40986127918759324
5680,2.0,0.007126539618475362,1.0468440842412123,0.060037179546169966,0.4282458935999573
5681,2.0,0.007133319162530825,1.0614952288292652,0.06149522882926496,0.4335632131196216
5682,2.0,0.007095125712221488,1.0551233829984707,0.06779679433121419,0.429827750741799
5683,2.0,0.007180337499594316,1.0679457386175883,0.06794573861758844,0.43586757287143474
5684,2.0,0.007148695554351434,1.0473123909300233,0.06010654846722799,0.4299717575304621
5685,2.0,0.007195929972222075,1.0027327331289118,0.040692908904898725,0.40509942846847896
5686,2.0,0.0072350724192801865,1.0497620965496177,0.06231301505554483,0.4321293174150511
5687,2.0,0.007177618542918936,1.050726870881504,0.06343748857068417,0.4359371561798247
5688,2.0,0.00724352384568192,1.0503113586419832,0.0628706206794662,0.43069980058156576
5689,2.0,0.007305904008680955,1.0775769533031316,0.07757695330313134,0.4539220776877233
5690,2.0,0.007272466957801953,0.9998640443710091,0.0643940449066025,0.429379039374747
5691,2.0,0.0072341766173485665,1.0181922064216677,0.06631766321973563,0.4348366967882456
5692,2.0,0.007274514228338375,1.057710500714502,0.07064445693432875,0.4401086209761956
5693,2.0,0.007237263458082452,0.9913608150571674,0.06721225018294343,0.42790470450208645
5694,2.0,0.00719469926902093,1.0410705957090638,0.06646355368004372,0.42654503130754456
5695,2.0,0.007194958847248927,1.0392554257434254,0.05207702193865282,0.4474569489057548
5696,2.0,0.007198251007357612,0.9854985352716386,0.036756550227179316,0.4229790585827292
5697,2.0,0.007296031407313421,1.0387662848504722,0.05133027364236571,0.4395154735124174
5698,2.0,0.007248557322891429,1.0191891819594057,0.0446783348629621,0.43076740459352536
5699,2.0,0.0074442918703425676,0.980830789064786,0.04512571458387854,0.40233995776594106
5700,2.0,0.007451769105391577,0.32841632397111137,-0.0001751687154429079,0.20825140599062059
5701,2.0,0.007613998643355444,0.31589126049025545,-0.009762596296418935,0.2151963049806378
5702,2.0,0.0076825680781621485,1.059987505832861,0.05998750583286088,0.4337840637397507
5703,2.0,0.007809492313535884,1.078975860769659,0.07897586076965853,0.45471651354993725
5704,2.0,0.007953439039411023,1.0583649187856028,0.07109326940162583,0.4471624319739784
